Country Code,Year,GDP per capita,Population,Inflation,Unemployment,Trade (% of GDP)
ARG,2007,7210.59,39876111.0,0.0,8.47,40.94
ARG,2008,8977.515,40273769.0,0.0,7.84,40.4
ARG,2009,8184.39,40684338.0,0.0,8.65,34.05
ARG,2010,10385.96,40788453.0,0.0,7.71,34.97
ARG,2011,12848.86,41261490.0,0.0,7.18,35.2
ARG,2012,13082.66,41733271.0,0.0,7.22,30.52
ARG,2013,13080.25,42202935.0,0.0,7.1,29.33
ARG,2014,12334.79,42669500.0,0.0,7.27,28.4
ARG,2015,13789.06,43131966.0,0.0,7.524,22.48
ARG,2016,12790.24,43590368.0,0.0,8.109,26.09
ARG,2017,14613.04,44044811.0,0.0,8.35,25.28
ARG,2018,11795.16,44494502.0,0.0,9.22,30.76
ARG,2019,9963.67,44938712.0,0.0,9.84,32.63
ARG,2020,8496.42,45376763.0,0.0,11.46,30.22
ARG,2021,10636.13,45808747.0,0.0,8.74,32.98
ARM,2007,3064.28,3004393.0,4.41,9.81,56.98
ARM,2008,3908.95,2983421.0,8.95,10.0,54.54
ARM,2009,2917.37,2964296.0,3.41,9.89,57.27
ARM,2010,3143.03,2946293.0,8.18,10.54,64.64
ARM,2011,3462.68,2928976.0,7.65,10.92,69.44
ARM,2012,3643.72,2914421.0,2.56,11.3,75.96
ARM,2013,3833.16,2901385.0,5.79,11.53,77.56
ARM,2014,4017.23,2889930.0,2.98,11.86,75.78
ARM,2015,3666.14,2878595.0,3.73,12.18,71.68
ARM,2016,3679.95,2865835.0,-1.4,12.43,76.08
ARM,2017,4042.0,2851923.0,0.97,12.94,87.2
ARM,2018,4391.92,2836557.0,2.52,13.21,92.47
ARM,2019,4828.51,2820602.0,1.44,12.2,96.11
ARM,2020,4505.87,2805608.0,1.21,12.18,69.49
ARM,2021,4966.51,2790974.0,7.18,12.73,79.17
AUS,2007,41023.75,20827622.0,2.33,4.38,42.04
AUS,2008,49679.18,21249199.0,4.35,4.23,42.86
AUS,2009,42810.33,21691653.0,1.77,5.56,45.75
AUS,2010,52134.31,22031750.0,2.92,5.21,40.52
AUS,2011,62596.43,22340024.0,3.3,5.08,41.84
AUS,2012,68044.71,22733465.0,1.76,5.22,43.17
AUS,2013,68158.58,23128129.0,2.45,5.66,41.27
AUS,2014,62513.41,23475686.0,2.49,6.08,42.47
AUS,2015,56710.45,23815995.0,1.51,6.05,41.62
AUS,2016,49875.57,24190907.0,1.28,5.71,40.82
AUS,2017,53936.14,24594202.0,1.95,5.59,41.95
AUS,2018,57207.87,24966643.0,1.91,5.3,43.39
AUS,2019,54941.43,25340217.0,1.61,5.16,45.83
AUS,2020,51720.37,25655289.0,0.85,6.46,44.23
AUS,2021,60443.11,25688079.0,2.86,5.12,39.87
AUT,2007,46915.34,8295487.0,2.17,4.86,100.73
AUT,2008,51919.98,8321496.0,3.22,4.13,102.07
AUT,2009,48153.32,8343323.0,0.51,5.3,87.06
AUT,2010,46903.76,8363404.0,1.81,4.82,99.02
AUT,2011,51442.28,8391643.0,3.29,4.56,105.1
AUT,2012,48564.92,8429991.0,2.49,4.87,105.15
AUT,2013,50731.13,8479823.0,2.0,5.34,104.07
AUT,2014,51786.38,8546356.0,1.61,5.62,103.5
AUT,2015,44195.82,8642699.0,0.9,5.72,102.43
AUT,2016,45307.59,8736668.0,0.89,6.01,100.98
AUT,2017,47429.16,8797566.0,2.08,5.5,104.94
AUT,2018,51466.56,8840521.0,2.0,4.85,107.92
AUT,2019,50070.4,8879920.0,1.53,4.49,107.89
AUT,2020,48809.23,8916864.0,1.38,5.36,100.22
AUT,2021,53637.71,8955797.0,2.77,6.18,111.22
AZE,2007,3851.44,8581300.0,16.7,6.33,96.64
AZE,2008,5574.6,8763400.0,20.85,5.86,89.24
AZE,2009,4950.29,8947243.0,1.46,5.74,74.74
AZE,2010,5843.53,9054332.0,5.73,5.63,74.99
AZE,2011,7189.69,9173082.0,7.86,5.42,80.51
AZE,2012,7496.29,9295784.0,1.07,5.19,78.26
AZE,2013,7875.76,9416801.0,2.42,4.97,74.68
AZE,2014,7891.31,9535079.0,1.37,4.91,69.48
AZE,2015,5500.31,9649341.0,4.03,4.96,72.6
AZE,2016,3880.74,9757812.0,12.44,5.0,90.08
AZE,2017,4147.09,9854033.0,12.94,4.96,90.4
AZE,2018,4739.84,9939771.0,2.27,4.94,91.67
AZE,2019,4805.75,10024283.0,2.61,4.85,85.82
AZE,2020,4229.91,10093121.0,2.76,7.16,72.02
AZE,2021,5388.0,10137750.0,6.65,5.95,76.57
BHR,2007,20883.55,1040532.0,3.26,1.09,137.79
BHR,2008,23155.82,1110343.0,3.53,1.11,145.88
BHR,2009,19448.18,1179453.0,2.8,1.14,117.96
BHR,2010,21186.81,1213645.0,1.96,1.13,120.47
BHR,2011,23741.56,1212077.0,-0.4,1.18,174.16
BHR,2012,25102.73,1224939.0,2.76,1.2,185.88
BHR,2013,25790.73,1261673.0,3.3,1.18,191.87
BHR,2014,25464.76,1311134.0,2.65,1.18,175.57
BHR,2015,22795.45,1362142.0,1.85,1.2,154.93
BHR,2016,22867.18,1409661.0,2.79,1.18,139.62
BHR,2017,24349.91,1456834.0,1.39,1.17,143.09
BHR,2018,25415.85,1487340.0,2.09,1.18,150.81
BHR,2019,25869.11,1494188.0,1.01,1.18,141.7
BHR,2020,23501.92,1477469.0,-2.32,1.67,139.81
BHR,2021,26562.96,1463265.0,-0.6,1.53,0.0
BGD,2007,552.34,144135934.0,9.11,4.09,39.94
BGD,2008,630.11,145421318.0,8.9,4.55,42.62
BGD,2009,698.52,146706810.0,5.42,5.0,40.09
BGD,2010,776.86,148391139.0,8.13,3.38,37.8
BGD,2011,856.38,150211005.0,11.4,3.75,47.42
BGD,2012,876.82,152090649.0,6.22,4.1,48.11
BGD,2013,973.77,154030139.0,7.53,4.43,46.3
BGD,2014,1108.52,155961299.0,6.99,4.39,44.51
BGD,2015,1236.01,157830000.0,6.19,4.37,42.09
BGD,2016,1659.96,159784568.0,5.51,4.35,31.33
BGD,2017,1815.61,161793964.0,5.7,4.37,30.0
BGD,2018,1963.41,163683958.0,5.54,4.38,32.51
BGD,2019,2122.08,165516222.0,5.59,4.38,31.58
BGD,2020,2233.31,167420951.0,5.69,5.21,26.27
BGD,2021,2457.92,169356251.0,5.55,5.1,27.72
BLR,2007,4735.66,9560953.0,8.43,7.66,128.15
BLR,2008,6377.37,9527985.0,14.84,7.03,129.6
BLR,2009,5352.58,9504583.0,12.95,6.1,108.64
BLR,2010,6033.69,9483836.0,7.74,6.26,115.92
BLR,2011,6527.17,9461643.0,53.23,6.17,157.97
BLR,2012,6953.13,9446836.0,59.22,6.05,153.09
BLR,2013,7998.13,9443211.0,18.31,6.01,119.82
